dataset,branch,seed,dmis
ckd,S1,101,0.205
ckd,S1,102,0.15
ckd,S1,103,0.215
ckd,S1,104,0.26
ckd,S1,105,0.27
ckd,S1,106,0.345
ckd,S1,107,0.225
ckd,S1,108,0.275
ckd,S1,109,0.2
ckd,S1,110,0.225
ckd,S1,111,0.16
ckd,S1,112,0.235
ckd,S1,113,0.155
ckd,S1,114,0.19
ckd,S1,115,0.16
ckd,S2,101,0.23
ckd,S2,102,0.145
ckd,S2,103,0.175
ckd,S2,104,0.155
ckd,S2,105,0.145
ckd,S2,106,0.185
ckd,S2,107,0.165
ckd,S2,108,0.205
ckd,S2,109,0.145
ckd,S2,110,0.145
ckd,S2,111,0.185
ckd,S2,112,0.175
ckd,S2,113,0.08
ckd,S2,114,0.09
ckd,S2,115,0.12
hepatitis,S1,101,0.1548
hepatitis,S1,102,0.1806
hepatitis,S1,103,0.0516
hepatitis,S1,104,0.0258
hepatitis,S1,105,0.1161
hepatitis,S2,101,0.4387
hepatitis,S2,102,0.4129
hepatitis,S2,103,0.3742
hepatitis,S2,104,0.4
hepatitis,S2,105,0.2839
ckd,S1,116,0.22
ckd,S2,116,0.145
hepatitis,S1,106,0.0774
hepatitis,S2,106,0.2968
hepatitis,S1,107,0.1161
hepatitis,S2,107,0.2839
hepatitis,S1,108,0.0774
hepatitis,S2,108,0.3613
hepatitis,S1,109,0.1032
hepatitis,S2,109,0.3613
hepatitis,S1,110,0.1806
hepatitis,S2,110,0.3226
hepatitis,S1,111,0.0387
hepatitis,S2,111,0.4258
hepatitis,S1,112,0.129
hepatitis,S2,112,0.3871
hepatitis,S1,113,0.0516
hepatitis,S2,113,0.3871
hepatitis,S1,114,0.1677
hepatitis,S2,114,0.3484
hepatitis,S1,115,0.0387
hepatitis,S2,115,0.5161
hepatitis,S1,116,0.129
hepatitis,S2,116,0.4645
