dataset,subgroup,branch,seed,mean_risk_across_folds,subgroup_attack_rate,non_subgroup_attack_rate
hepatitis,outlier,S1,101,0.0124,0.0,0.0
hepatitis,outlier,S2,101,0.0114,0.0,0.0067
hepatitis,age>=50,S1,101,0.0124,0.0,0.0
hepatitis,age>=50,S2,101,0.0114,0.0,0.0089
hepatitis,mp0,S1,101,0.0124,0.0,0.0
hepatitis,mp0,S2,101,0.0114,0.0125,0.0
hepatitis,outlier,S1,102,0.0,0.0,0.0133
hepatitis,outlier,S2,102,0.0,0.2,0.0
hepatitis,age>=50,S1,102,0.0,0.0233,0.0089
hepatitis,age>=50,S2,102,0.0,0.0233,0.0
hepatitis,mp0,S1,102,0.0,0.0125,0.0133
hepatitis,mp0,S2,102,0.0,0.0,0.0133
hepatitis,outlier,S1,103,0.0251,0.0,0.0067
hepatitis,outlier,S2,103,0.0064,0.0,0.0
hepatitis,age>=50,S1,103,0.0251,0.0,0.0089
hepatitis,age>=50,S2,103,0.0064,0.0,0.0
hepatitis,mp0,S1,103,0.0251,0.0,0.0133
hepatitis,mp0,S2,103,0.0064,0.0,0.0
hepatitis,outlier,S1,104,0.0281,0.0,0.0
hepatitis,outlier,S2,104,0.0095,0.0,0.0
hepatitis,age>=50,S1,104,0.0281,0.0,0.0
hepatitis,age>=50,S2,104,0.0095,0.0,0.0
hepatitis,mp0,S1,104,0.0281,0.0,0.0
hepatitis,mp0,S2,104,0.0095,0.0,0.0
ckd,outlier,S1,101,0.1147,0.0526,0.0761
ckd,outlier,S2,101,0.0957,0.1579,0.0604
ckd,age>=65,S1,101,0.1147,0.102,0.0662
ckd,age>=65,S2,101,0.0957,0.0204,0.0795
ckd,htn==yes,S1,101,0.1147,0.1156,0.0514
ckd,htn==yes,S2,101,0.0957,0.0748,0.0593
ckd,dm==yes,S1,101,0.1147,0.0949,0.0646
ckd,dm==yes,S2,101,0.0957,0.0803,0.057
ckd,mp0,S1,101,0.1147,0.0759,0.0744
ckd,mp0,S2,101,0.0957,0.0506,0.0744
hepatitis,outlier,S1,201,0.0053,0.0,0.0
hepatitis,outlier,S2,201,0.0108,0.2,0.02
hepatitis,age>=50,S1,201,0.0053,0.0,0.0
hepatitis,age>=50,S2,201,0.0108,0.0698,0.0089
hepatitis,mp0,S1,201,0.0053,0.0,0.0
hepatitis,mp0,S2,201,0.0108,0.025,0.0267
ckd,outlier,S1,201,0.0944,0.1579,0.0604
ckd,outlier,S2,201,0.1009,0.2632,0.0604
ckd,age>=65,S1,201,0.0944,0.0612,0.0662
ckd,age>=65,S2,201,0.1009,0.0408,0.0795
ckd,htn==yes,S1,201,0.0944,0.102,0.0435
ckd,htn==yes,S2,201,0.1009,0.0952,0.0553
ckd,dm==yes,S1,201,0.0944,0.0876,0.0532
ckd,dm==yes,S2,201,0.1009,0.0949,0.057
ckd,mp0,S1,201,0.0944,0.0696,0.062
ckd,mp0,S2,201,0.1009,0.0633,0.0744
ckd,outlier,S1,202,0.0874,0.1579,0.0394
ckd,outlier,S2,202,0.1058,0.2105,0.0761
ckd,age>=65,S1,202,0.0874,0.0204,0.053
ckd,age>=65,S2,202,0.1058,0.0918,0.0795
ckd,htn==yes,S1,202,0.0874,0.0612,0.0356
ckd,htn==yes,S2,202,0.1058,0.1088,0.0672
ckd,dm==yes,S1,202,0.0874,0.0511,0.0418
ckd,dm==yes,S2,202,0.1058,0.0949,0.076
ckd,mp0,S1,202,0.0874,0.038,0.0496
ckd,mp0,S2,202,0.1058,0.0696,0.0909
ckd,outlier,S1,203,0.0951,0.1579,0.0709
ckd,outlier,S2,203,0.0957,0.2632,0.0682
ckd,age>=65,S1,203,0.0951,0.0816,0.0728
ckd,age>=65,S2,203,0.0957,0.0612,0.0828
ckd,htn==yes,S1,203,0.0951,0.102,0.0593
ckd,htn==yes,S2,203,0.0957,0.0884,0.0711
ckd,dm==yes,S1,203,0.0951,0.0876,0.0684
ckd,dm==yes,S2,203,0.0957,0.0876,0.0722
ckd,mp0,S1,203,0.0951,0.0633,0.0826
ckd,mp0,S2,203,0.0957,0.0506,0.095
ckd,outlier,S1,204,0.0977,0.1579,0.0682
ckd,outlier,S2,204,0.0806,0.0526,0.0446
ckd,age>=65,S1,204,0.0977,0.0612,0.0762
ckd,age>=65,S2,204,0.0806,0.0306,0.0497
ckd,htn==yes,S1,204,0.0977,0.1156,0.0474
ckd,htn==yes,S2,204,0.0806,0.0748,0.0277
ckd,dm==yes,S1,204,0.0977,0.0876,0.0646
ckd,dm==yes,S2,204,0.0806,0.0365,0.0494
ckd,mp0,S1,204,0.0977,0.0696,0.0744
ckd,mp0,S2,204,0.0806,0.019,0.062
