dataset,subgroup,branch,n_runs,mean_risk_mean,mean_risk_std,subgroup_attack_rate_mean,subgroup_attack_rate_std,non_subgroup_attack_rate_mean,non_subgroup_attack_rate_std
ckd,outlier,S1,5,0.0979,0.0102,0.1368,0.0471,0.063,0.0144
ckd,outlier,S2,5,0.0957,0.0094,0.1895,0.0881,0.0619,0.0117
ckd,age>=65,S1,5,0.0979,0.0102,0.0653,0.0303,0.0669,0.0089
ckd,age>=65,S2,5,0.0957,0.0094,0.049,0.0283,0.0742,0.0138
ckd,htn==yes,S1,5,0.0979,0.0102,0.0993,0.0223,0.0474,0.0088
ckd,htn==yes,S2,5,0.0957,0.0094,0.0884,0.0144,0.0561,0.0171
ckd,dm==yes,S1,5,0.0979,0.0102,0.0818,0.0174,0.0585,0.0109
ckd,dm==yes,S2,5,0.0957,0.0094,0.0788,0.0244,0.0623,0.0113
ckd,mp0,S1,5,0.0979,0.0102,0.0633,0.0148,0.0686,0.0129
ckd,mp0,S2,5,0.0957,0.0094,0.0506,0.0195,0.0793,0.0135
hepatitis,outlier,S1,5,0.0142,0.0122,0.0,0.0,0.004,0.006
hepatitis,outlier,S2,5,0.0076,0.0047,0.08,0.1095,0.0053,0.0087
hepatitis,age>=50,S1,5,0.0142,0.0122,0.0047,0.0104,0.0036,0.0049
hepatitis,age>=50,S2,5,0.0076,0.0047,0.0186,0.0303,0.0036,0.0049
hepatitis,mp0,S1,5,0.0142,0.0122,0.0025,0.0056,0.0053,0.0073
hepatitis,mp0,S2,5,0.0076,0.0047,0.0075,0.0112,0.008,0.0119
