dataset,subgroup,branch,seed,n_subgroup,total,tpr_gap,specificity_gap,n_neg_subgroup,n_neg_non_subgroup
hepatitis,outlier,R,101,5,155,-0.0805,-0.0909,2,121
hepatitis,outlier,S1,101,5,155,-0.3908,0.4339,2,121
hepatitis,outlier,S2,101,5,155,-0.1839,-0.0909,2,121
hepatitis,age>=50,R,101,43,155,-0.0649,0.0058,32,91
hepatitis,age>=50,S1,101,43,155,0.0606,0.0278,32,91
hepatitis,age>=50,S2,101,43,155,0.2078,0.1326,32,91
hepatitis,mp0,R,101,80,155,-0.166,0.033,67,56
hepatitis,mp0,S1,101,80,155,0.1377,0.0688,67,56
hepatitis,mp0,S2,101,80,155,0.0648,0.033,67,56
hepatitis,outlier,R,101,5,155,-0.0805,-0.0909,2,121
hepatitis,outlier,S1,101,5,155,-0.2529,-0.157,2,121
hepatitis,outlier,S2,101,5,155,-0.1149,-0.1157,2,121
hepatitis,age>=50,R,101,43,155,-0.0649,0.0058,32,91
hepatitis,age>=50,S1,101,43,155,-0.026,0.2558,32,91
hepatitis,age>=50,S2,101,43,155,0.303,0.0151,32,91
hepatitis,mp0,R,101,80,155,-0.166,0.033,67,56
hepatitis,mp0,S1,101,80,155,0.3482,0.0541,67,56
hepatitis,mp0,S2,101,80,155,-0.0891,0.0123,67,56
hepatitis,outlier,R,102,5,155,-0.0805,-0.1322,2,121
hepatitis,outlier,S1,102,5,155,0.0805,-0.1322,2,121
hepatitis,outlier,S2,102,5,155,-0.2529,-0.0826,2,121
hepatitis,age>=50,R,102,43,155,0.0736,0.2043,32,91
hepatitis,age>=50,S1,102,43,155,0.0649,0.1621,32,91
hepatitis,age>=50,S2,102,43,155,0.1126,0.0591,32,91
hepatitis,mp0,R,102,80,155,-0.4251,-0.0235,67,56
hepatitis,mp0,S1,102,80,155,-0.2227,0.0421,67,56
hepatitis,mp0,S2,102,80,155,-0.17,0.0181,67,56
hepatitis,outlier,R,103,5,155,-0.1839,-0.0826,2,121
hepatitis,outlier,S1,103,5,155,-0.2529,0.4091,2,121
hepatitis,outlier,S2,103,5,155,0.1149,-0.1074,2,121
hepatitis,age>=50,R,103,43,155,0.2078,0.0591,32,91
hepatitis,age>=50,S1,103,43,155,0.1126,-0.0052,32,91
hepatitis,age>=50,S2,103,43,155,0.2511,0.1528,32,91
hepatitis,mp0,R,103,80,155,-0.1943,0.0181,67,56
hepatitis,mp0,S1,103,80,155,-0.17,0.0152,67,56
hepatitis,mp0,S2,103,80,155,-0.2996,0.0629,67,56
hepatitis,outlier,R,104,5,155,-0.0805,-0.1074,2,121
hepatitis,outlier,S1,104,5,155,-0.2874,-0.1157,2,121
hepatitis,outlier,S2,104,5,155,-0.5172,0.343,2,121
hepatitis,age>=50,R,104,43,155,0.2121,0.1106,32,91
hepatitis,age>=50,S1,104,43,155,-0.2121,0.0573,32,91
hepatitis,age>=50,S2,104,43,155,-0.0216,-0.0086,32,91
hepatitis,mp0,R,104,80,155,-0.2955,-0.0354,67,56
hepatitis,mp0,S1,104,80,155,0.166,0.0123,67,56
hepatitis,mp0,S2,104,80,155,0.247,0.0035,67,56
ckd,outlier,R,101,19,400,0.1146,,0,150
ckd,outlier,S1,101,19,400,0.1672,,0,150
ckd,outlier,S2,101,19,400,0.1146,,0,150
ckd,age>=65,R,101,98,400,0.0375,-0.0155,21,129
ckd,age>=65,S1,101,98,400,-0.0434,-0.0078,21,129
ckd,age>=65,S2,101,98,400,-0.0188,-0.0078,21,129
ckd,htn==yes,R,101,147,400,-0.0932,,0,150
ckd,htn==yes,S1,101,147,400,-0.1029,,0,150
ckd,htn==yes,S2,101,147,400,-0.0767,,0,150
ckd,dm==yes,R,101,137,400,-0.0504,,0,150
ckd,dm==yes,S1,101,137,400,-0.1077,,0,150
ckd,dm==yes,S2,101,137,400,-0.0666,,0,150
ckd,mp0,R,101,158,400,-0.0628,-0.0199,115,35
ckd,mp0,S1,101,158,400,-0.0395,-0.0286,115,35
ckd,mp0,S2,101,158,400,-0.0628,-0.0286,115,35
ckd,outlier,R,102,19,400,-0.0606,,0,150
ckd,outlier,S1,102,19,400,0.0533,,0,150
ckd,outlier,S2,102,19,400,0.0836,,0,150
ckd,age>=65,R,102,98,400,-0.0434,-0.031,21,129
ckd,age>=65,S1,102,98,400,-0.0622,-0.0078,21,129
ckd,age>=65,S2,102,98,400,-0.0029,0.0321,21,129
ckd,htn==yes,R,102,147,400,-0.0203,,0,150
ckd,htn==yes,S1,102,147,400,-0.0864,,0,150
ckd,htn==yes,S2,102,147,400,-0.0514,,0,150
ckd,dm==yes,R,102,137,400,-0.0593,,0,150
ckd,dm==yes,S1,102,137,400,-0.1077,,0,150
ckd,dm==yes,S2,102,137,400,-0.0296,,0,150
ckd,mp0,R,102,158,400,-0.0395,-0.077,115,35
ckd,mp0,S1,102,158,400,-0.0395,-0.0286,115,35
ckd,mp0,S2,102,158,400,-0.0057,-0.0857,115,35
ckd,outlier,R,103,19,400,0.036,,0,150
ckd,outlier,S1,103,19,400,-0.008,,0,150
ckd,outlier,S2,103,19,400,0.0093,,0,150
ckd,age>=65,R,103,98,400,0.0273,-0.031,21,129
ckd,age>=65,S1,103,98,400,-0.0116,0.0321,21,129
ckd,age>=65,S2,103,98,400,-0.0636,-0.0078,21,129
ckd,htn==yes,R,103,147,400,-0.0096,,0,150
ckd,htn==yes,S1,103,147,400,-0.0796,,0,150
ckd,htn==yes,S2,103,147,400,-0.0903,,0,150
ckd,dm==yes,R,103,137,400,-0.014,,0,150
ckd,dm==yes,S1,103,137,400,-0.0197,,0,150
ckd,dm==yes,S2,103,137,400,-0.065,,0,150
ckd,mp0,R,103,158,400,-0.0589,-0.0398,115,35
ckd,mp0,S1,103,158,400,-0.0725,-0.0112,115,35
ckd,mp0,S2,103,158,400,-0.0251,-0.0286,115,35
